Bonus Episode: Return to Marielda Marathon Livestream
Transcriber:anachilles#0191 (start to approx. 4:57:30 using YouTube feed); thedreadbiter (4:57:30 to end; edits)
[Unnamed Marielda music plays under narration]        
Austin (as Samol):        Well, I suppose I've got a story or two left in these old bones. And hell, since it is another one about Marielda, why not make it about stories and the people who tell them. Now, I know what you might be thinking: Physicality alive, in the era that The Six operated in Marielda, it was knowledge which was forbidden, turned into contraband and currency both, not stories. But as anyone ever wounded by art can tell you, fiction is a sharper knife than information could ever be. And living fiction, played out in front of your eyes and ears? Well, very few things are as well honed as that. And so it was that Samothes, ever jealous and increasingly suspicious that his erstwhile beau might conquer his capital with culture instead of cudgel, all but forbade the theater.
Of course, any scoundrel worth their shadow would narrow in on those two words preceding “forbade”: “All but.” There were two exceptions to the rule banning theater. The first was liturgical drama, approved by the Blessed Council and performed in the True Church of Samothes on the Day of High Sun and other feasts. Between us, these were boring. They might serve academic value to someone of today's New Archives, and I suppose, for the true believer of that old era, seeing even the most sanitized depiction of their King-God, the Artificer Divine, would make their day.
But for most folks, they wanted something a little less sacramental. Which is where the second exception comes in. Once a season, as an act of supposed Good Will, the Preceptors of the Font of True Knowledge—the Font Men—opened the gates of their domain and put on a grand show. A day of comedy and tragedy in the Font Theater—the leash let slack, so that the next time those censors pulled on it, they could claim it was done in good faith. What does any of this have to do with The Six. Well, nothin’, until those out-a-towners with mysterious pasts and glorious masks showed up, claiming they had a spot on the stage, and a job for Hitchcock, Castille, and the rest: help those actors steal their names back.
[thunderclap, music ends]
Set-up - 02:36
Austin:        Hello, and welcome to Friends at the Table, an actual play podcast focused on critical world-building, smart characterization, and fun interaction between good friends. I'm your host, Austin Walker. Today, joining me, Janine Hawkins.
Janine:        Hello. I'm @bleatingheart on Twitter, let's do the full ones.
Austin:        Yeah. Art Martinez-Tebbel.
Art:        Hey, I'm on Twitter at @atebbel.
Austin:        Jack de Quidt.
Jack:        Hi, I'm Twitter at @notquitereal, and you can buy any of the music featured on the show and on this stream at notquitereal.bandcamp.com.
Austin:        Sylvi Clare.
Sylvia:        Hey, I'm Sylvia. You can find me on Twitter at @sylvibullet, and you can listen to my other show if you look up Emojidrome 2.0, on your podcast app of choice. [chuckles]
Austin:        [laughing] Right. Uh, and Ali Acampora.
Ali:        Uh, hi! You can find me over at @ali_west on Twitter, [clears throat] sorry, and the show over at @friends_table.
Austin:        You can find me at @austin_walker, and you can support the show by going to friendsatthetable.cash. And if you're listening to this live, it means you're [chuckling] listening to this while we are doing our fundraiser for the National Network of Abortion Funds, which ran or is running — excuse me, from July 3 to July — excuse me! July 3rd to July 4th, 2022. Uh, thank you so much for everyone who has shown up to give your support. It has meant the world.
For people who are only listening in the podcast feed, one of the incentives that people met while we were raising money, uh, was that we would return to Marielda and play Scene Thieves, a game by Possible World Games and Tyler Crumrine, with art illustrated by Pol Clarissou. It's beautiful, it's gorgeous, it's a great game, I'm very excited to play it. Uh, I guess I'll read from, from the book briefly and say: Scene Thieves is a theatrical roleplaying game where players collaboratively write a play, while simultaneously choreographing an elaborate heist in the background. During the game's preshow, players create a band of thieves who use their theatrical performance as cover for their crimes.
Players also establish broad strokes for the game's show, before writing down a variety of props on notecards. Then, it's showtime! In Act 1, everyone draws prop cards from a pot and incorporates them into the progression of both of the play and the heist. At intermission, players take note of whether the evening is trending towards comedy or tragedy. In Act 2, they have a final chance to reverse their fates before the end of the game. To play Scene Thieves, you'll need two or more players, a coin, writing utensils, a six-sided die (optional), a stack of notecards, 3x5 recommended, a pot for collecting and mixing cards, like a hat or a bowl. Uh, uh, all right. Uh, so, if you listened to the intro just now, you'll know that the, uh, the premise of this session is that, during the one-year period between, I guess it's between War in Azaleas and then the final arc of Friends at the Table — or, ooh, jeez, of Marielda.
Sylvia:        [laughing]
Austin:        It was clearly not the final arc of Friends at the Table, because we've had like, 6 years since then. Uh. If you listened to the beginning of this episode, you know that the premise, uh, is, uh, that during that year between the, uh, penultimate and ultimate arcs of Marielda, uh, a lot of, The Six got up to a lot of different heists, a lot of different jobs, and et cetera. In this one, they have been hired by an outside troupe of actors, who don't know their own names. Uh, they know their faces, they know their parts in a play. Uh, uh, they have the script for that play, uh, uh, they have a, some sort of means of transportation that allowed them to arrive in Marielda, we will find out what that is. Uh, but they don't know who they are. What they do know is, there is a registration document somewhere in the depths of the Font Men HQ, which I don't know anything about, don't look at me. All I know is there is a stage in there, and probably a library. Lots of [laughing] lots of secret libraries, in Marielda. That has some sort of document that says who they are, where they're from, other key information about, about who they are. Uh, and so they're trying to figure out what that is and why it is that they've lost their identities. I know the answers to this, because it's an idea that I came up with. Uh, uh, I pitched this idea to some other folks on the call. If y'all, if you know the answer to this, don't — let's play with dramatic irony tonight, and don't bring that up.
Jack:        [chuckles]
Austin:        Uh... I think that's all the intro I need to do. Is there anything else I'm forgetting? Been a minute since we've done Marielda, so...
Art:        Uh, no, but can I, can I say, because Austin said, if you didn't listen to the intro. And if you're someone who listens to this show and skips the intros —
Austin:        [laughing]
Art:        I want to hear from you. Send me a message.
Austin:        They exist!
Art:        Send me a message somewhere, you skip the intro just go to the rest of the — I want to know —
Austin:        Art, those people exist.
Art:        What your life is like.
Austin:        A lot of people —
Janine:        Intros have spoilers.
Austin:        Intros have spoilers. Intros can be a little... pretentious, you know? People want to get into the game!
Ali:        Oh, Austin...
Austin:        No, I'm, I'm just relating things I've seen on the internet. Listen. You can like whatever part of the podcast you like.
Sylvia:         Oh, are we allowed to do that?
Austin:        Yes.
Sylvia:        Do I get to talk about how I'm too mean on Twitter?
Austin:         Ha-ha-ha! No! Uh...
Jack:        The intro's where we say all your social security numbers anyway, so, you know.
Austin:        Yes, exactly.
Ali:        Mm-hm.
Janine:        [laughing]
Austin:        Uh... [chuckles] go back and listen. They, they're coded in there. If you want to steal our identities, that's what you've got to do. Uh, all right, I'm going to read from the program notes really quick. [chuckles] Uh, half the fun of Scene Thieves is coming up with the setting and play elements as a group, so resist the urge to do planning beforehand.
Jack:        Whoops.
Austin:        Well, we've done, we've done, a little bit —
Ali:        We experienced that fun over a... [laughing]
Art:        3 years of —
Ali:        A couple of months.
